Run will be saved under: ./run_outputs/run_2022_to_2022

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 40124851, isPK: True, prob: 0.9999880790710449>
<pmid: 38463030, isPK: False, prob: 0.000616486300714314>
<pmid: 37724167, isPK: True, prob: 0.9999960660934448>
<pmid: 37564865, isPK: True, prob: 0.9999954700469971>
<pmid: 37564831, isPK: True, prob: 0.9999909400939941>
<pmid: 37359242, isPK: True, prob: 0.822391927242279>
<pmid: 37327020, isPK: False, prob: 0.0016048828838393092>
<pmid: 37305163, isPK: False, prob: 0.0006658660131506622>
<pmid: 37255782, isPK: True, prob: 0.9999936819076538>
<pmid: 37193080, isPK: False, prob: 0.0016597321955487132>
<pmid: 37139481, isPK: False, prob: 0.0009317123331129551>
<pmid: 37128362, isPK: True, prob: 0.9999886751174927>
<pmid: 37116911, isPK: False, prob: 0.0014556560199707747>
<pmid: 37116909, isPK: True, prob: 0.9958838820457458>
<pmid: 37114257, isPK: False, prob: 0.02080986276268959>
<pmid: 37089700, isPK: False, prob: 0.0007394436397589743>
<pmid: 37065929, isPK: True, prob: 0.9992601275444031>
<pmid: 37065467, isPK: False, prob: 0.5330696702003479>
<pmid: 37008250, isPK: True, prob: 0.9999936819076538>
<pmid: 36970218, isPK: False, prob: 0.0007844264036975801>
<pmid: 36970055, isPK: False, prob: 0.0616825670003891>
<pmid: 36970053, isPK: True, prob: 0.9999899864196777>
<pmid: 36950142, isPK: True, prob: 0.9999924898147583>
<pmid: 36931746, isPK: False, prob: 0.000891367846634239>
<pmid: 36927004, isPK: False, prob: 0.00062594871269539>
<pmid: 36923556, isPK: False, prob: 0.0011772700818255544>
<pmid: 36922934, isPK: False, prob: 0.00802080612629652>
<pmid: 36905282, isPK: False, prob: 0.0009266143315471709>
<pmid: 36866391, isPK: False, prob: 0.0009234506287612021>
<pmid: 36853205, isPK: False, prob: 0.0006540479953400791>
<pmid: 36852248, isPK: False, prob: 0.08623697608709335>
<pmid: 36848829, isPK: False, prob: 0.001210876740515232>
<pmid: 36846375, isPK: False, prob: 0.001056050299666822>
<pmid: 36846370, isPK: False, prob: 0.0025164831895381212>
<pmid: 36817217, isPK: False, prob: 0.1103125512599945>
<pmid: 36817213, isPK: False, prob: 0.052335307002067566>
<pmid: 36817002, isPK: False, prob: 0.0011562168365344405>
<pmid: 36815051, isPK: True, prob: 0.9980704188346863>
<pmid: 36810198, isPK: True, prob: 0.9999932050704956>
<pmid: 36810197, isPK: True, prob: 0.999944806098938>
<pmid: 36778905, isPK: True, prob: 0.8229194283485413>
<pmid: 36761834, isPK: False, prob: 0.0008042415138334036>
<pmid: 36746706, isPK: True, prob: 0.999994158744812>
<pmid: 36741918, isPK: False, prob: 0.0008401965023949742>
<pmid: 36733851, isPK: False, prob: 0.2791830599308014>
<pmid: 36733374, isPK: False, prob: 0.002299932762980461>
<pmid: 36730487, isPK: True, prob: 0.998076319694519>
<pmid: 36729959, isPK: False, prob: 0.0009823981672525406>
<pmid: 36726439, isPK: True, prob: 0.9999915361404419>
<pmid: 36724603, isPK: True, prob: 0.9994860887527466>
<pmid: 36714108, isPK: False, prob: 0.0010964965913444757>
<pmid: 36712688, isPK: True, prob: 0.9999772310256958>
<pmid: 36712659, isPK: True, prob: 0.9999929666519165>
<pmid: 36710948, isPK: True, prob: 0.9999943971633911>
<pmid: 36705017, isPK: True, prob: 0.9996781349182129>
<pmid: 36700507, isPK: False, prob: 0.0011880883248522878>
<pmid: 36699081, isPK: False, prob: 0.0010167693253606558>
<pmid: 36699070, isPK: True, prob: 0.9999938011169434>
<pmid: 36695214, isPK: False, prob: 0.0007228594622574747>
<pmid: 36691239, isPK: True, prob: 0.9999939203262329>
<pmid: 36688140, isPK: True, prob: 0.9987467527389526>
<pmid: 36686693, isPK: True, prob: 0.9999932050704956>
<pmid: 36686675, isPK: True, prob: 0.9999755620956421>
<pmid: 36686668, isPK: False, prob: 0.0008041760302148759>
<pmid: 36686664, isPK: True, prob: 0.9999923706054688>
<pmid: 36686423, isPK: False, prob: 0.0006895996630191803>
<pmid: 36686155, isPK: True, prob: 0.9999911785125732>
<pmid: 36684526, isPK: True, prob: 0.9999939203262329>
<pmid: 36683766, isPK: False, prob: 0.0007225846056826413>
<pmid: 36680164, isPK: True, prob: 0.9956988096237183>
<pmid: 36678760, isPK: True, prob: 0.9999339580535889>
<pmid: 36678737, isPK: True, prob: 0.9999935626983643>
<pmid: 36678712, isPK: False, prob: 0.0008886843570508063>
<pmid: 36678704, isPK: True, prob: 0.9999819993972778>
<pmid: 36678675, isPK: True, prob: 0.9999933242797852>
<pmid: 36678550, isPK: False, prob: 0.0006685418193228543>
<pmid: 36678516, isPK: False, prob: 0.0012308869045227766>
<pmid: 36676959, isPK: False, prob: 0.0007946898695081472>
<pmid: 36671744, isPK: True, prob: 0.9999891519546509>
<pmid: 36671444, isPK: False, prob: 0.001496079028584063>
<pmid: 36671438, isPK: False, prob: 0.0011954186484217644>
<pmid: 36671234, isPK: True, prob: 0.9999887943267822>
<pmid: 36670872, isPK: False, prob: 0.0007676061941310763>
<pmid: 36669926, isPK: True, prob: 0.9999790191650391>
<pmid: 36668767, isPK: True, prob: 0.9999704360961914>
<pmid: 36660607, isPK: True, prob: 0.9999790191650391>
<pmid: 36655134, isPK: False, prob: 0.0010052506113424897>
<pmid: 36655125, isPK: False, prob: 0.0011012123432010412>
<pmid: 36644381, isPK: True, prob: 0.9987919926643372>
<pmid: 36638392, isPK: True, prob: 0.9999752044677734>
<pmid: 36632076, isPK: True, prob: 0.9999933242797852>
<pmid: 36630218, isPK: False, prob: 0.0007609084714204073>
<pmid: 36628386, isPK: True, prob: 0.999992847442627>
<pmid: 36621256, isPK: False, prob: 0.0012839094270020723>
<pmid: 36621072, isPK: True, prob: 0.9999433755874634>
<pmid: 36620535, isPK: False, prob: 0.0008431386086158454>
<pmid: 36620072, isPK: False, prob: 0.014848108403384686>
<pmid: 36619571, isPK: False, prob: 0.024920549243688583>
<pmid: 36615502, isPK: False, prob: 0.0008445553830824792>
<pmid: 36615399, isPK: False, prob: 0.005188353825360537>
<pmid: 36614018, isPK: False, prob: 0.0007196011720225215>
<pmid: 36613635, isPK: False, prob: 0.0006218049093149602>
<pmid: 36612178, isPK: False, prob: 0.0005019056843593717>
<pmid: 36612086, isPK: True, prob: 0.999994158744812>
<pmid: 36608544, isPK: False, prob: 0.02158534713089466>
<pmid: 36605404, isPK: True, prob: 0.9999909400939941>
<pmid: 36605195, isPK: False, prob: 0.00093717040726915>
<pmid: 36604878, isPK: False, prob: 0.6429192423820496>
<pmid: 36604875, isPK: True, prob: 0.9999021291732788>
<pmid: 36603393, isPK: False, prob: 0.001067940960638225>
<pmid: 36601510, isPK: True, prob: 0.9999890327453613>
<pmid: 36600664, isPK: True, prob: 0.9990791082382202>
<pmid: 36600395, isPK: True, prob: 0.9999938011169434>
<pmid: 36597465, isPK: False, prob: 0.0009297502692788839>
<pmid: 36596435, isPK: True, prob: 0.9446244239807129>
<pmid: 36596351, isPK: True, prob: 0.9999926090240479>
<pmid: 36594940, isPK: True, prob: 0.9992509484291077>
<pmid: 36593927, isPK: False, prob: 0.0007286375621333718>
<pmid: 36591537, isPK: False, prob: 0.0019393092952668667>
<pmid: 36591124, isPK: True, prob: 0.9999918937683105>
<pmid: 36590413, isPK: False, prob: 0.0020864198449999094>
<pmid: 36589018, isPK: True, prob: 0.9983195662498474>
<pmid: 36588718, isPK: False, prob: 0.001121461158618331>
<pmid: 36588717, isPK: True, prob: 0.9998407363891602>
<pmid: 36588698, isPK: True, prob: 0.999992847442627>
<pmid: 36588682, isPK: True, prob: 0.9999909400939941>
<pmid: 36588676, isPK: True, prob: 0.9999939203262329>
<pmid: 36587684, isPK: True, prob: 0.8372376561164856>
<pmid: 36587633, isPK: False, prob: 0.0010768400970846415>
<pmid: 36586557, isPK: False, prob: 0.0015772570623084903>
