Run will be saved under: ./run_outputs/run_2023-01-01_to_2023-03-31

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 39132582, isPK: False, prob: 0.000780856644269079>
<pmid: 39035470, isPK: True, prob: 0.9999949932098389>
<pmid: 38975869, isPK: True, prob: 0.8559882044792175>
<pmid: 38966399, isPK: True, prob: 0.9999864101409912>
<pmid: 38919447, isPK: True, prob: 0.999994158744812>
<pmid: 38550925, isPK: True, prob: 0.9999679327011108>
<pmid: 38348118, isPK: True, prob: 0.9999842643737793>
<pmid: 38328556, isPK: True, prob: 0.9984858632087708>
<pmid: 38313075, isPK: True, prob: 0.9387946724891663>
<pmid: 38293667, isPK: False, prob: 0.0008449067827314138>
<pmid: 38274128, isPK: False, prob: 0.0009924774058163166>
<pmid: 38269273, isPK: True, prob: 0.9999920129776001>
<pmid: 38269269, isPK: True, prob: 0.9496451616287231>
<pmid: 38264525, isPK: True, prob: 0.9999841451644897>
<pmid: 38260854, isPK: False, prob: 0.0009181796340271831>
<pmid: 38259288, isPK: False, prob: 0.0015656002797186375>
<pmid: 38250577, isPK: False, prob: 0.019062800332903862>
<pmid: 38250068, isPK: False, prob: 0.0008877080981619656>
<pmid: 38239747, isPK: True, prob: 0.9999728202819824>
<pmid: 38239195, isPK: True, prob: 0.9999939203262329>
<pmid: 38223197, isPK: True, prob: 0.999970555305481>
<pmid: 38222349, isPK: False, prob: 0.001031256397254765>
<pmid: 38191200, isPK: True, prob: 0.9999890327453613>
<pmid: 38186572, isPK: False, prob: 0.0004996657371520996>
<pmid: 38169997, isPK: False, prob: 0.0008030476165004075>
<pmid: 38169995, isPK: False, prob: 0.0007264217711053789>
<pmid: 38162571, isPK: False, prob: 0.0010316146072000265>
<pmid: 38161797, isPK: True, prob: 0.9928728342056274>
<pmid: 38157240, isPK: True, prob: 0.9999909400939941>
<pmid: 38152397, isPK: False, prob: 0.0011166841723024845>
<pmid: 38149054, isPK: False, prob: 0.012304638512432575>
<pmid: 38145012, isPK: False, prob: 0.0008355212630704045>
<pmid: 38143515, isPK: True, prob: 0.9999938011169434>
<pmid: 38130841, isPK: False, prob: 0.30784645676612854>
<pmid: 38130493, isPK: True, prob: 0.9999809265136719>
<pmid: 38130409, isPK: True, prob: 0.9985389709472656>
