Run will be saved under: ./run_outputs/run_2023-04-01_to_2023

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 39620056, isPK: True, prob: 0.9900914430618286>
<pmid: 39492474, isPK: True, prob: 0.9999942779541016>
<pmid: 39492253, isPK: True, prob: 0.9999737739562988>
<pmid: 39491986, isPK: False, prob: 0.0008988595800474286>
<pmid: 39491088, isPK: True, prob: 0.999994158744812>
<pmid: 39391641, isPK: True, prob: 0.9618158936500549>
<pmid: 39035470, isPK: True, prob: 0.9999953508377075>
<pmid: 38932878, isPK: False, prob: 0.000736817077267915>
<pmid: 38829573, isPK: True, prob: 0.9999884366989136>
<pmid: 38738529, isPK: False, prob: 0.0007137120119296014>
<pmid: 38681872, isPK: False, prob: 0.0005815707263536751>
<pmid: 38666150, isPK: True, prob: 0.9999896287918091>
<pmid: 38526478, isPK: False, prob: 0.0008822359959594905>
<pmid: 38521549, isPK: True, prob: 0.9999951124191284>
<pmid: 38486991, isPK: False, prob: 0.0008345024543814361>
<pmid: 38436988, isPK: False, prob: 0.0009790535550564528>
<pmid: 38435812, isPK: True, prob: 0.9999523162841797>
<pmid: 38404495, isPK: True, prob: 0.9998137354850769>
<pmid: 38375045, isPK: True, prob: 0.9491411447525024>
<pmid: 38374907, isPK: False, prob: 0.0012447910849004984>
<pmid: 38365330, isPK: True, prob: 0.9999932050704956>
<pmid: 38362350, isPK: False, prob: 0.0008957039681263268>
<pmid: 38304706, isPK: True, prob: 0.9999933242797852>
<pmid: 38299059, isPK: True, prob: 0.8288812637329102>
<pmid: 38276495, isPK: True, prob: 0.999985933303833>
<pmid: 38276491, isPK: True, prob: 0.9999747276306152>
<pmid: 38276481, isPK: False, prob: 0.001845410792157054>
<pmid: 38274556, isPK: True, prob: 0.9999936819076538>
<pmid: 38258048, isPK: True, prob: 0.9990426898002625>
<pmid: 38256888, isPK: False, prob: 0.0017605327302590013>
<pmid: 38256887, isPK: True, prob: 0.9999784231185913>
<pmid: 38256861, isPK: True, prob: 0.9999943971633911>
<pmid: 38250068, isPK: False, prob: 0.0008877837681211531>
<pmid: 38248639, isPK: False, prob: 0.3962686359882355>
<pmid: 38239238, isPK: False, prob: 0.0008502812124788761>
<pmid: 38226027, isPK: False, prob: 0.002156752860173583>
<pmid: 38223829, isPK: False, prob: 0.0007013455033302307>
<pmid: 38223197, isPK: True, prob: 0.999970555305481>
<pmid: 38222621, isPK: True, prob: 0.9999275207519531>
<pmid: 38219224, isPK: True, prob: 0.9999908208847046>
<pmid: 38218044, isPK: False, prob: 0.0015245600370690227>
<pmid: 38217969, isPK: True, prob: 0.9999936819076538>
<pmid: 38217900, isPK: True, prob: 0.9999779462814331>
<pmid: 38217071, isPK: True, prob: 0.9999563694000244>
<pmid: 38211993, isPK: True, prob: 0.9999921321868896>
<pmid: 38203730, isPK: False, prob: 0.0014458952937275171>
<pmid: 38202741, isPK: True, prob: 0.9999891519546509>
<pmid: 38202604, isPK: False, prob: 0.0013490107376128435>
<pmid: 38201839, isPK: False, prob: 0.0007142839604057372>
<pmid: 38198964, isPK: False, prob: 0.1651581972837448>
<pmid: 38197000, isPK: True, prob: 0.9999935626983643>
<pmid: 38196997, isPK: True, prob: 0.9999949932098389>
<pmid: 38194735, isPK: False, prob: 0.0008536563254892826>
<pmid: 38190774, isPK: True, prob: 0.9999496936798096>
<pmid: 38187226, isPK: False, prob: 0.0004820883914362639>
<pmid: 38186572, isPK: False, prob: 0.0004997155629098415>
<pmid: 38185057, isPK: False, prob: 0.0007379244780167937>
<pmid: 38185056, isPK: False, prob: 0.0004905486712232232>
<pmid: 38185054, isPK: False, prob: 0.0008697878802195191>
<pmid: 38184353, isPK: True, prob: 0.7268013954162598>
<pmid: 38183733, isPK: True, prob: 0.9999803304672241>
<pmid: 38179257, isPK: False, prob: 0.07183385640382767>
<pmid: 38178333, isPK: False, prob: 0.0019246542360633612>
<pmid: 38176263, isPK: False, prob: 0.0006620062049478292>
<pmid: 38173866, isPK: False, prob: 0.0006588459364138544>
<pmid: 38173516, isPK: False, prob: 0.3308103382587433>
<pmid: 38169997, isPK: False, prob: 0.0007915754104033113>
<pmid: 38169995, isPK: False, prob: 0.0007248346810229123>
<pmid: 38169270, isPK: False, prob: 0.0010344800539314747>
<pmid: 38168168, isPK: False, prob: 0.0013282260624691844>
<pmid: 38163528, isPK: True, prob: 0.999994158744812>
<pmid: 38163420, isPK: False, prob: 0.0012441042345017195>
<pmid: 38163409, isPK: True, prob: 0.9518082737922668>
<pmid: 38162571, isPK: False, prob: 0.0010312775848433375>
<pmid: 38161797, isPK: True, prob: 0.9928412437438965>
<pmid: 38161045, isPK: True, prob: 0.9999854564666748>
<pmid: 38160194, isPK: True, prob: 0.9999866485595703>
<pmid: 38159587, isPK: False, prob: 0.000513381150085479>
<pmid: 38159585, isPK: False, prob: 0.0007432574639096856>
<pmid: 38159380, isPK: False, prob: 0.0008491590851917863>
<pmid: 38159286, isPK: False, prob: 0.0007653258508071303>
<pmid: 38159179, isPK: True, prob: 0.9999921321868896>
<pmid: 38158596, isPK: True, prob: 0.9999891519546509>
<pmid: 38158503, isPK: True, prob: 0.9999940395355225>
<pmid: 38158474, isPK: False, prob: 0.0010394585551694036>
<pmid: 38158473, isPK: False, prob: 0.000751925224903971>
<pmid: 38158281, isPK: True, prob: 0.9999940395355225>
<pmid: 38158147, isPK: False, prob: 0.03377501666545868>
<pmid: 38157240, isPK: True, prob: 0.9999909400939941>
<pmid: 38156921, isPK: False, prob: 0.0007153216865845025>
<pmid: 38156369, isPK: True, prob: 0.9998303651809692>
<pmid: 38155640, isPK: False, prob: 0.0009306485881097615>
<pmid: 38155300, isPK: False, prob: 0.0011101961135864258>
<pmid: 38155261, isPK: False, prob: 0.0008208568324334919>
<pmid: 38154793, isPK: True, prob: 0.9999943971633911>
<pmid: 38154719, isPK: False, prob: 0.0007376200519502163>
<pmid: 38154506, isPK: False, prob: 0.0011595390969887376>
<pmid: 38154255, isPK: False, prob: 0.0006772393826395273>
<pmid: 38152951, isPK: True, prob: 0.9610909819602966>
<pmid: 38152536, isPK: False, prob: 0.0038111505564302206>
<pmid: 38152397, isPK: False, prob: 0.001134970923885703>
<pmid: 38150960, isPK: False, prob: 0.0013050547568127513>
<pmid: 38150832, isPK: True, prob: 0.9999934434890747>
<pmid: 38150171, isPK: True, prob: 0.999993085861206>
<pmid: 38149466, isPK: True, prob: 0.9999918937683105>
<pmid: 38149054, isPK: False, prob: 0.015549485571682453>
<pmid: 38148626, isPK: False, prob: 0.0006942336913198233>
<pmid: 38148585, isPK: False, prob: 0.0007251107599586248>
<pmid: 38148384, isPK: True, prob: 0.9983587861061096>
<pmid: 38147525, isPK: False, prob: 0.001029886887408793>
<pmid: 38147172, isPK: False, prob: 0.0011146282777190208>
<pmid: 38146913, isPK: False, prob: 0.0008031976176425815>
<pmid: 38145809, isPK: False, prob: 0.001759872306138277>
<pmid: 38145726, isPK: True, prob: 0.9999939203262329>
<pmid: 38145641, isPK: False, prob: 0.0008936941740103066>
<pmid: 38145595, isPK: False, prob: 0.0014189928770065308>
<pmid: 38145409, isPK: False, prob: 0.0014163716696202755>
<pmid: 38145378, isPK: False, prob: 0.0008494244539178908>
<pmid: 38145012, isPK: False, prob: 0.0008358528721146286>
<pmid: 38144918, isPK: False, prob: 0.0007866371888667345>
<pmid: 38143515, isPK: True, prob: 0.9999938011169434>
<pmid: 38142932, isPK: False, prob: 0.0006280455272644758>
<pmid: 38142763, isPK: False, prob: 0.0008363935048691928>
<pmid: 38141317, isPK: False, prob: 0.001883390243165195>
<pmid: 38141094, isPK: True, prob: 0.9999809265136719>
