Run will be saved under: ./run_outputs/run_2000-07-01_to_2000

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 16649325, isPK: True, prob: 0.9999332427978516>
<pmid: 16047259, isPK: False, prob: 0.0012749307788908482>
<pmid: 14727911, isPK: False, prob: 0.005053580738604069>
<pmid: 14727894, isPK: False, prob: 0.0015219844644889235>
<pmid: 14727892, isPK: False, prob: 0.0006930850795470178>
<pmid: 12697493, isPK: True, prob: 0.9898053407669067>
<pmid: 12607222, isPK: False, prob: 0.0007210606709122658>
<pmid: 12575285, isPK: True, prob: 0.9999936819076538>
<pmid: 12563349, isPK: False, prob: 0.23822785913944244>
<pmid: 12541746, isPK: True, prob: 0.9999926090240479>
<pmid: 12525076, isPK: True, prob: 0.9999929666519165>
<pmid: 12089958, isPK: False, prob: 0.0008398303762078285>
<pmid: 11967826, isPK: False, prob: 0.0009093063417822123>
<pmid: 11899652, isPK: True, prob: 0.6956925988197327>
<pmid: 11832166, isPK: True, prob: 0.9990904331207275>
<pmid: 11762928, isPK: True, prob: 0.9999943971633911>
<pmid: 11732518, isPK: True, prob: 0.9999887943267822>
<pmid: 11593763, isPK: False, prob: 0.0007631221669726074>
<pmid: 11565955, isPK: False, prob: 0.010058483108878136>
<pmid: 11514951, isPK: True, prob: 0.9986477494239807>
<pmid: 11512126, isPK: True, prob: 0.9999929666519165>
<pmid: 11512125, isPK: True, prob: 0.999994158744812>
<pmid: 11501052, isPK: True, prob: 0.999982476234436>
<pmid: 11474118, isPK: False, prob: 0.000795302796177566>
<pmid: 11471755, isPK: True, prob: 0.9989333748817444>
<pmid: 11465047, isPK: True, prob: 0.9999233484268188>
<pmid: 11465046, isPK: True, prob: 0.9994062185287476>
<pmid: 11444269, isPK: False, prob: 0.0008124905289150774>
<pmid: 11428637, isPK: False, prob: 0.42918965220451355>
<pmid: 11428630, isPK: True, prob: 0.9955078363418579>
<pmid: 11426651, isPK: False, prob: 0.0009755855426192284>
<pmid: 11420896, isPK: True, prob: 0.9999909400939941>
