Run will be saved under: ./run_outputs/run_2000_to_2000-06-30

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 16103944, isPK: False, prob: 0.001257099211215973>
<pmid: 16100700, isPK: False, prob: 0.0014132788637652993>
<pmid: 16088762, isPK: False, prob: 0.0036119355354458094>
<pmid: 16083654, isPK: True, prob: 0.999995231628418>
<pmid: 14727849, isPK: False, prob: 0.0014718571910634637>
<pmid: 14727846, isPK: False, prob: 0.001457385835237801>
<pmid: 14564578, isPK: True, prob: 0.9999830722808838>
<pmid: 12903478, isPK: False, prob: 0.0007007505046203732>
<pmid: 12725087, isPK: True, prob: 0.999994158744812>
<pmid: 12587834, isPK: False, prob: 0.021760229021310806>
<pmid: 12578088, isPK: True, prob: 0.999995231628418>
<pmid: 12572089, isPK: False, prob: 0.002111272420734167>
<pmid: 12572087, isPK: False, prob: 0.05943071097135544>
<pmid: 12501600, isPK: True, prob: 0.9999454021453857>
<pmid: 11828619, isPK: True, prob: 0.7012720704078674>
<pmid: 11819604, isPK: True, prob: 0.9999810457229614>
<pmid: 11778184, isPK: True, prob: 0.9999911785125732>
<pmid: 11741248, isPK: True, prob: 0.9999896287918091>
<pmid: 11741238, isPK: True, prob: 0.9999932050704956>
<pmid: 11741234, isPK: True, prob: 0.9999947547912598>
<pmid: 11741227, isPK: True, prob: 0.9999868869781494>
<pmid: 11741219, isPK: True, prob: 0.9999849796295166>
<pmid: 11741217, isPK: True, prob: 0.9999922513961792>
<pmid: 11700590, isPK: False, prob: 0.002260492416098714>
<pmid: 11688968, isPK: False, prob: 0.0017568040639162064>
<pmid: 11543364, isPK: False, prob: 0.004893110599368811>
<pmid: 11490604, isPK: False, prob: 0.0011007529683411121>
<pmid: 11484884, isPK: True, prob: 0.9999943971633911>
<pmid: 11483289, isPK: False, prob: 0.0009104363853111863>
<pmid: 11469389, isPK: False, prob: 0.0011662297183647752>
<pmid: 11467411, isPK: False, prob: 0.0009492957615293562>
<pmid: 11455960, isPK: False, prob: 0.0008688208181411028>
<pmid: 11455956, isPK: False, prob: 0.000983807840384543>
<pmid: 11413676, isPK: True, prob: 0.9999932050704956>
<pmid: 11402701, isPK: True, prob: 0.999992847442627>
<pmid: 11389545, isPK: False, prob: 0.0010212900815531611>
<pmid: 11379474, isPK: True, prob: 0.9999902248382568>
<pmid: 11345042, isPK: False, prob: 0.001240769517607987>
<pmid: 11345024, isPK: True, prob: 0.9999945163726807>
<pmid: 11341468, isPK: False, prob: 0.0009713909821584821>
<pmid: 11341050, isPK: False, prob: 0.0009535980643704534>
<pmid: 11334361, isPK: False, prob: 0.0010116940829902887>
<pmid: 11334057, isPK: True, prob: 0.9999918937683105>
<pmid: 11334056, isPK: False, prob: 0.0010011603590101004>
<pmid: 11328669, isPK: False, prob: 0.0011958855902776122>
<pmid: 11328668, isPK: False, prob: 0.0013803329784423113>
<pmid: 11328667, isPK: False, prob: 0.0013559627113863826>
<pmid: 11328665, isPK: True, prob: 0.9901450872421265>
<pmid: 11328663, isPK: True, prob: 0.9999561309814453>
<pmid: 11328662, isPK: False, prob: 0.08986970782279968>
<pmid: 11328659, isPK: False, prob: 0.0007885608356446028>
<pmid: 11321441, isPK: False, prob: 0.0012931580422446132>
<pmid: 11310906, isPK: True, prob: 0.923495352268219>
<pmid: 11285735, isPK: False, prob: 0.015673531219363213>
<pmid: 11285721, isPK: False, prob: 0.007959938608109951>
<pmid: 11282217, isPK: True, prob: 0.9999873638153076>
<pmid: 11280447, isPK: True, prob: 0.9998088479042053>
<pmid: 11261809, isPK: False, prob: 0.1771066039800644>
<pmid: 11261592, isPK: False, prob: 0.000854908605106175>
<pmid: 11256712, isPK: True, prob: 0.9992295503616333>
<pmid: 11255677, isPK: False, prob: 0.0036202336195856333>
<pmid: 11253041, isPK: False, prob: 0.0034949968103319407>
<pmid: 11249625, isPK: False, prob: 0.0007079810020513833>
<pmid: 11237203, isPK: False, prob: 0.000597433012444526>
<pmid: 11237172, isPK: False, prob: 0.00213331519626081>
<pmid: 11217288, isPK: False, prob: 0.0010646978626027703>
<pmid: 11217202, isPK: True, prob: 0.9999942779541016>
<pmid: 11216481, isPK: False, prob: 0.004693910479545593>
<pmid: 11214934, isPK: False, prob: 0.000857011298649013>
<pmid: 11209558, isPK: False, prob: 0.002300618216395378>
<pmid: 11208094, isPK: False, prob: 0.0007959885406307876>
<pmid: 11206720, isPK: False, prob: 0.0009232456795871258>
<pmid: 11201294, isPK: False, prob: 0.0007503796950913966>
<pmid: 11199174, isPK: True, prob: 0.9999935626983643>
<pmid: 11198268, isPK: False, prob: 0.0006936354329809546>
<pmid: 11197638, isPK: False, prob: 0.005921972915530205>
<pmid: 11197624, isPK: True, prob: 0.9988009929656982>
<pmid: 11193924, isPK: False, prob: 0.0013149286387488246>
<pmid: 11193902, isPK: False, prob: 0.0848725438117981>
<pmid: 11193901, isPK: True, prob: 0.9420379996299744>
<pmid: 11193898, isPK: False, prob: 0.002334674820303917>
<pmid: 11193895, isPK: True, prob: 0.999994158744812>
<pmid: 11193893, isPK: True, prob: 0.9999953508377075>
<pmid: 11193891, isPK: False, prob: 0.0008143312879838049>
<pmid: 11193837, isPK: False, prob: 0.0015778179513290524>
<pmid: 11193814, isPK: False, prob: 0.0007710150675848126>
<pmid: 11193591, isPK: False, prob: 0.0013191885082051158>
<pmid: 11193586, isPK: False, prob: 0.0007863988867029548>
<pmid: 11193582, isPK: False, prob: 0.001372158294543624>
